ID;Trans;Factors;FRED Mnemonic;Description;type;S;M;L;XL;XS
67;5;1;UEMP15T26;Number of Civilians Unemployed for 15 to 26 Weeks (Thousands of Persons);slow;;;;x;
68;5;1;UEMP27OV;Number of Civilians Unemployed for 27 Weeks and Over (Thousands of Persons);slow;;;;x;
69;5;1;LNS13023621;Unemployment Level - Job Losers (Thousands of Persons);slow;;;;;
70;5;1;LNS13023557;Unemployment Level - Reentrants to Labor Force (Thousands of Persons);slow;;;;;
71;5;1;LNS13023705;Unemployment Level - Job Leavers (Thousands of Persons);slow;;;;;
72;5;1;LNS13023569;Unemployment Level - New Entrants (Thousands of Persons);slow;;;;;
73;5;1;LNS12032194;Emp:SlackWk Employment Level - Part-Time for Economic Reasons, All Industries;slow;;;;;
74;5;0;HOABS;EmpHrs:Bus Sec Business Sector: Hours of All Persons (Index 2012=100);slow;;;;;
75;5;0;HOAMS;Manufacturing Sector:  Hours of All Persons (Index 2012=100);slow;;;;;
76;5;0;HOANBS;Nonfarm Business Sector:  Hours of All Persons (Index 2012=100);slow;;;;;
77;1;1;AWHMAN;Average Weekly Hours of Production and Nonsupervisory Employees:  Manufacturing (Hours);slow;;x;x;x;
78;2;1;AWHNONAG;Average Weekly Hours Of Production And Nonsupervisory Employees:  Total private (Hours);slow;;;;;
79;2;1;AWOTMAN;Average Weekly Overtime Hours of Production and Nonsupervisory Employees: Manufacturing (Hours);slow;;;x;x;
80;1;0;HWIx;Help-Wanted Index;slow;;;;x;
197;2;0;UEMPMEAN;Average (Mean) Duration of Unemployment (Weeks);slow;;;;;
198;2;0;CES0600000007;Average Weekly Hours of Production and Nonsupervisory Employees:  Goods-Producing;slow;;x;x;x;
220;2;0;HWIURATIOx;Ratio of Help Wanted/No.  Unemployed;slow;;;;;
221;5;0;CLAIMSx;Initial Claims;slow;;x;x;x;
81;5;0;HOUST;Housing Starts: Total: New Privately Owned Housing Units Started;slow;;x;x;x;
82;5;0;HOUST5F;Privately Owned Housing Starts: 5-Unit Structures or More;slow;;;;x;
83;5;1;PERMIT;New Private Housing Units Authorized by Building Permits;slow;;x;x;x;
84;5;1;HOUSTMW;Housing Starts in Midwest Census Region (Thousands of Units);slow;;;;x;
85;5;1;HOUSTNE;Housing Starts in Northeast Census Region (Thousands of Units);slow;;;;x;
86;5;1;HOUSTS;Housing Starts in South Census Region (Thousands of Units);slow;;;;x;
87;5;1;HOUSTW;Housing Starts in West Census Region (Thousands of Units);slow;;;;x;
179;5;1;USSTHPI;All-Transactions House Price Index for the United States;slow;;;;;
180;5;1;SPCS10RSA;S&P/Case-Shiller 10-City Composite Home Price Index ;slow;;;;;
181;5;1;SPCS20RSA;S&P/Case-Shiller 20-City Composite Home Price Index ;slow;;;;;
227;5;0;PERMITNE;New Private Housing Units Authorized by Building Permits in the Northeast Census;slow;;;;;
228;5;0;PERMITMW;New Private Housing Units Authorized by Building Permits in the Midwest Census;slow;;;;;
229;5;0;PERMITS;New Private Housing Units Authorized by Building Permits in the South Census;slow;;;;;
230;5;0;PERMITW;New Private Housing Units Authorized by Building Permits in the West Census;slow;;;;;
88;5;0;CMRMTSPLx MT ;Real Manufacturing and Trade Industries Sales (Millions of Chained 2012;slow;;;x;x;
89;5;1;RSAFSx;Real Retail and Food Services Sales (Millions of Chained 2012 Dollars);slow;;;x;x;
90;5;1;AMDMNOx;Real Manufacturers’ New Orders:  Durable Goods (Millions of 2012 Dollars);slow;;;;x;
91;5;1;ACOGNOx;Real Value of Manufacturers’ New Orders for Consumer Goods Industries;slow;;;;;
92;5;1;AMDMUOx;Real Value of Manufacturers’ Unfilled Orders for Durable Goods Industries;slow;;;;x;
93;5;1;ANDENOx;Real Value of Manufacturers’ New Orders for Capital Goods:  Nondefense;slow;;;;;
